id;props.openaire
ContactPerson;ContactPerson
DataCollector;DataCollector
DataCurator;DataCurator
DataManager;DataManager
Distributor;Distributor
Editor;Editor
HostingInstitution;HostingInstitution
Producer;Producer
ProjectLeader;ProjectLeader
ProjectManager;ProjectManager
ProjectMember;ProjectMember
RegistrationAgency;RegistrationAgency
RegistrationAuthority;RegistrationAuthority
RelatedPerson;RelatedPerson
Researcher;Researcher
ResearchGroup;ResearchGroup
RightsHolder;RightsHolder
Sponsor;Sponsor
Supervisor;Supervisor
Translator;Other
WorkPackageLeader;WorkPackageLeader
Other;Other
