id;props.datacite
IsVersionOf;IsVersionOf
HasVersion;HasVersion
IsPartOf;IsPartOf
HasPart;HasPart
IsReviewedBy;IsReviewedBy
Reviews;Reviews
IsCompiledBy;IsCompiledBy
Compiles;Compiles
IsReferencedBy;IsReferencedBy
References;References
IsCitedBy;IsCitedBy
Cites;Cites
IsSupplementTo;IsSupplementTo
IsSupplementedBy;IsSupplementedBy
Describes;Describes
IsDescribedBy;IsDescribedBy
IsPublishedIn;IsPublishedIn
IsRequiredBy;IsRequiredBy
Requires;Requires
IsContinuedBy;IsContinuedBy
Continues;Continues
HasMetadata;HasMetadata
IsMetadataFor;IsMetadataFor
IsNewVersionOf;IsNewVersionOf
IsPreviousVersionOf;IsPreviousVersionOf
IsDocumentedBy;IsDocumentedBy
Documents;Documents
IsVariantFormOf;IsVariantFormOf
IsOriginalFormOf;IsOriginalFormOf
IsIdenticalTo;IsIdenticalTo
IsDerivedFrom;IsDerivedFrom
IsSourceOf;IsSourceOf
Obsoletes;Obsoletes
IsObsoletedBy;IsObsoletedBy
IsTranslationOf;IsTranslationOf
HasTranslation;HasTranslation
IsCollectedBy;IsCollectedBy
Collects;Collects
