id;props.openaire
IsPartOf;IsPartOf
HasPart;HasPart
IsReviewedBy;IsReviewedBy
Reviews;Reviews
IsCompiledBy;isCompiledBy
Compiles;Compiles
IsReferencedBy;IsReferencedBy
References;References
IsCitedBy;IsCitedBy
Cites;Cites
IsSupplementTo;IsSupplementTo
IsSupplementedBy;IsSupplementedBy
IsContinuedBy;IsContinuedBy
Continues;Continues
HasMetadata;HasMetadata
IsMetadataFor;IsMetadataFor
IsNewVersionOf;IsNewVersionOf
IsPreviousVersionOf;IsPreviousVersionOf
IsDocumentedBy;IsDocumentedBy
Documents;Documents
IsVariantFormOf;IsVariantFormOf
IsOriginalFormOf;IsOriginalFormOf
IsIdenticalTo;IsIdenticalTo
IsDerivedFrom;IsDerivedFrom
IsSourceOf;IsSourceOf
