# curie_map:
#   ccmm_rt: https://vocabs.ccmm.cz/registry/codelist/RelationType/
#   openaire_rt: info:eu-repo/semantics/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between openaire relation types and CCMM relation
#   types
# mapping_set_id: http://vocabs.ccmm.cz/mappings/relation_types_openaire
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
openaire_rt:IsPartOf	Is Part Of	skos:exactMatch	ccmm_rt:IsPartOf	is part of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:HasPart	Has Part	skos:exactMatch	ccmm_rt:HasPart	has part	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsReviewedBy	Is Reviewed By	skos:exactMatch	ccmm_rt:IsReviewedBy	is reviewed by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:Reviews	Reviews	skos:exactMatch	ccmm_rt:Reviews	reviews	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:isCompiledBy	is Compiled By	skos:exactMatch	ccmm_rt:IsCompiledBy	is compiled by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:Compiles	Compiles	skos:exactMatch	ccmm_rt:Compiles	compiles	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsReferencedBy	Is Referenced By	skos:exactMatch	ccmm_rt:IsReferencedBy	is referenced by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:References	References	skos:exactMatch	ccmm_rt:References	references	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsCitedBy	Is Cited By	skos:exactMatch	ccmm_rt:IsCitedBy	is cited by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:Cites	Cites	skos:exactMatch	ccmm_rt:Cites	cites	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsSupplementTo	Is Supplement To	skos:exactMatch	ccmm_rt:IsSupplementTo	is supplement to	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsSupplementedBy	Is Supplemented By	skos:exactMatch	ccmm_rt:IsSupplementedBy	is supplemented by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsContinuedBy	Is Continued By	skos:exactMatch	ccmm_rt:IsContinuedBy	is continued by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:Continues	Continues	skos:exactMatch	ccmm_rt:Continues	continues	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:HasMetadata	Has Metadata	skos:exactMatch	ccmm_rt:HasMetadata	has metadata	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsMetadataFor	Is Metadata For	skos:exactMatch	ccmm_rt:IsMetadataFor	is metadata for	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsNewVersionOf	Is New Version Of	skos:exactMatch	ccmm_rt:IsNewVersionOf	is new version of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsPreviousVersionOf	Is Previous Version Of	skos:exactMatch	ccmm_rt:IsPreviousVersionOf	is previous version of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsDocumentedBy	Is Documented By	skos:exactMatch	ccmm_rt:IsDocumentedBy	is documented by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:Documents	Documents	skos:exactMatch	ccmm_rt:Documents	documents	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsVariantFormOf	Is Variant Form Of	skos:exactMatch	ccmm_rt:IsVariantFormOf	is variant form of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsOriginalFormOf	Is Original Form Of	skos:exactMatch	ccmm_rt:IsOriginalFormOf	is original form of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsIdenticalTo	Is Identical To	skos:exactMatch	ccmm_rt:IsIdenticalTo	is identical to	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsDerivedFrom	Is Derived From	skos:exactMatch	ccmm_rt:IsDerivedFrom	is derived from	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_rt:IsSourceOf	Is Source Of	skos:exactMatch	ccmm_rt:IsSourceOf	is source of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
