# curie_map:
#   ccmm_rt: https://vocabs.ccmm.cz/registry/codelist/RelationType/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   zenodo_rt: https://zenodo.org/vocabularies/relationtypes/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between zenodo relation types and CCMM relation
#   types
# mapping_set_id: http://vocabs.ccmm.cz/mappings/relation_types_zenodo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
zenodo_rt:iscitedby	iscitedby	skos:exactMatch	ccmm_rt:IsCitedBy	is cited by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:cites	cites	skos:exactMatch	ccmm_rt:Cites	cites	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:issupplementto	issupplementto	skos:exactMatch	ccmm_rt:IsSupplementTo	is supplement to	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:issupplementedby	issupplementedby	skos:exactMatch	ccmm_rt:IsSupplementedBy	is supplemented by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:iscontinuedby	iscontinuedby	skos:exactMatch	ccmm_rt:IsContinuedBy	is continued by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:continues	continues	skos:exactMatch	ccmm_rt:Continues	continues	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:isdescribedby	isdescribedby	skos:exactMatch	ccmm_rt:IsDescribedBy	is described by	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:describes	describes	skos:exactMatch	ccmm_rt:Describes	describes	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:hasmetadata	hasmetadata	skos:exactMatch	ccmm_rt:HasMetadata	has metadata	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:ismetadatafor	ismetadatafor	skos:exactMatch	ccmm_rt:IsMetadataFor	is metadata for	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:hasversion	hasversion	skos:exactMatch	ccmm_rt:HasVersion	has version	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:isversionof	isversionof	skos:exactMatch	ccmm_rt:IsVersionOf	is version of	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
