# curie_map:
#   coar_rt: http://purl.org/coar/resource_type/
#   datacite_rt: https://schema.datacite.org/linked-data/vocab/resourceTypeGeneral/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between datacite resource types and CCMM/COAR resource
#   types
# mapping_set_id: http://vocabs.ccmm.cz/mappings/resource_types_datacite
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
datacite_rt:Audiovisual	Audiovisual	skos:exactMatch	coar_rt:c_12ce	video	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Audiovisual	Audiovisual	skos:exactMatch	coar_rt:c_8a7e	moving image	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Book	Book	skos:exactMatch	coar_rt:c_2f33	book	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:BookChapter	Book Chapter	skos:exactMatch	coar_rt:c_3248	book part	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Collection	Collection	skos:exactMatch	coar_rt:RMP5-3GQ6	collection	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Collection	Collection	skos:exactMatch	coar_rt:YC9F-HGCF	archival collection	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:ComputationalNotebook	Computational Notebook	skos:exactMatch	coar_rt:H41Y-FW7B	laboratory notebook	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:ConferencePaper	Conference Paper	skos:exactMatch	coar_rt:c_18cp	conference paper not in proceedings	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:ConferencePaper	Conference Paper	skos:exactMatch	coar_rt:c_5794	conference paper	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:ConferenceProceeding	Conference Proceeding	skos:exactMatch	coar_rt:c_c94f	conference output	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:ConferenceProceeding	Conference Proceeding	skos:exactMatch	coar_rt:c_f744	conference proceedings	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:DataPaper	Data Paper	skos:exactMatch	coar_rt:c_beb9	data paper	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:2H0M-X761	geospatial data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:63NG-B465	experimental data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:A8F1-NPV9	genomic data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:ACF7-8YT9	aggregated data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:AM6W-6QAW	encoded data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:CQMR-7K63	recorded data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:DD58-GFSX	measurement and test data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:EHVM-H119	research data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:FF4C-28RK	observational data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:FXF3-D3G7	compiled data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:NHD0-W6SY	survey data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:W2XT-7017	simulation data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:c_cb28	clinical trial data	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dataset	Dataset	skos:exactMatch	coar_rt:c_ddb1	dataset	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dissertation	Dissertation	skos:exactMatch	coar_rt:c_46ec	thesis	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dissertation	Dissertation	skos:exactMatch	coar_rt:c_7a1f	bachelor thesis	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dissertation	Dissertation	skos:exactMatch	coar_rt:c_bdcc	master thesis	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
datacite_rt:Dissertation	Dissertation	skos:exactMatch	coar_rt:c_db06	doctoral thesis	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
