# curie_map:
#   coar_rt: http://purl.org/coar/resource_type/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   zenodo_rt: https://zenodo.org/vocabularies/resourcetypes/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between zenodo resource types and CCMM/COAR resource
#   types
# mapping_set_id: http://vocabs.ccmm.cz/mappings/resource_types_zenodo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
zenodo_rt:annotationcollection	Annotation Collection	skos:exactMatch	coar_rt:c_1162	annotation	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:audio	Audio	skos:exactMatch	coar_rt:c_18cc	sound	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:dataset	Dataset	skos:exactMatch	coar_rt:c_ddb1	dataset	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:event	Event	skos:exactMatch	coar_rt:c_1843	other	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image	Image	skos:exactMatch	coar_rt:c_c513	image	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-diagram	Image / Diagram	skos:exactMatch	coar_rt:c_5ce6	software	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-drawing	Image / Drawing	skos:exactMatch	coar_rt:c_2cd9	magazine	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-figure	Image / Figure	skos:exactMatch	coar_rt:c_ecc8	still image	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-other	Image / Other	skos:exactMatch	coar_rt:c_c51a	image - other	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-photo	Image / Photo	skos:exactMatch	coar_rt:c_e73b	photograph	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
zenodo_rt:image-plot	Image / Plot	skos:exactMatch	coar_rt:c_ecc8	still image	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
