# curie_map:
#   ccmm_trt: https://vocabs.ccmm.cz/registry/codelist/TimeReference/
#   datacite_trt: https://schema.datacite.org/meta/kernel-4/dateType/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between datacite time reference types and CCMM time
#   reference types
# mapping_set_id: http://vocabs.ccmm.cz/mappings/time_reference_types_datacite
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
ccmm_trt:Accepted	Date Accepted	skos:exactMatch	datacite_trt:Accepted	Accepted	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Available	Date Available	skos:exactMatch	datacite_trt:Available	Available	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Copyrighted	Date Copyrighted	skos:exactMatch	datacite_trt:Copyrighted	Copyrighted	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Collected	Date Collected	skos:exactMatch	datacite_trt:Collected	Collected	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Coverage	Date Coverage	skos:exactMatch	datacite_trt:Coverage	Coverage	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Created	Date Created	skos:exactMatch	datacite_trt:Created	Created	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Issued	Date Issued	skos:exactMatch	datacite_trt:Issued	Issued	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Submitted	Date Submitted	skos:exactMatch	datacite_trt:Submitted	Submitted	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Updated	Date Updated	skos:exactMatch	datacite_trt:Updated	Updated	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Valid	Date Valid	skos:exactMatch	datacite_trt:Valid	Valid	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Withdrawn	Date Withdrawn	skos:exactMatch	datacite_trt:Withdrawn	Withdrawn	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
ccmm_trt:Other	Other date	skos:exactMatch	datacite_trt:Other	Other	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
